subset0
1_4_12 , 1
3_26_22 , 2
7_8_08 , 3
6_28_04 , 4
7_7_14 , 5
1_22_04 , 2
4_12_06 , 5
4_24_16 , 6
4_27_14 , 7
6_5_22 , 6
5_17_08 , 8
1_15_10 , 3
2_26_10 , 3
2_1_14 , 4
7_28_12 , 7
7_1_14 , 8
1_31_22 , 3
4_23_10 , 7
2_27_00 , 4
3_11_06 , 5
8_17_08 , 4
7_18_10 , 9
1_3_06 , 4
3_22_06 , 6
3_21_06 , 7
8_10_02 , 5
1_6_14 , 5
2_23_02 , 5
2_20_10 , 6
7_15_06 , 10
8_8_06 , 5
4_20_06 , 8
1_30_14 , 4
7_28_08 , 9
3_21_12 , 8
8_6_20 , 6
4_15_12 , 9
3_23_14 , 7
5_16_20 , 9
1_23_02 , 5
8_3_02 , 7
5_10_16 , 10
1_15_06 , 4
8_20_06 , 8
8_25_10 , 9
4_29_18 , 11
4_1_14 , 10
5_22_22 , 9
7_10_08 , 11
1_28_04 , 6
5_28_00 , 10
8_4_02 , 8
3_19_02 , 8
4_28_14 , 12
3_18_16 , 9
6_18_10 , 11
4_24_08 , 8
7_29_08 , 8
5_1_10 , 10
3_2_20 , 6
5_10_14 , 12
7_29_20 , 9
6_12_12 , 12
7_22_20 , 10
8_1_14 , 9
4_20_18 , 9
8_12_00 , 6
4_23_20 , 9
6_11_20 , 13
5_24_12 , 11
2_2_16 , 6
7_18_18 , 10
3_8_20 , 7
7_9_16 , 6
4_13_18 , 10
3_26_16 , 8
3_25_20 , 9
7_18_08 , 11
5_6_00 , 14
8_15_10 , 7
6_23_18 , 12
6_23_10 , 13
5_27_14 , 12
5_12_06 , 11
7_12_12 , 12
5_5_16 , 15
8_17_14 , 10
7_24_20 , 11
1_4_08 , 5
4_19_22 , 11
3_16_22 , 10
3_2_02 , 7
6_26_02 , 13
5_4_04 , 16
3_16_18 , 11
2_30_22 , 7
2_23_04 , 6
2_19_00 , 6
5_8_06 , 15
5_7_10 , 16
8_7_18 , 7
3_2_04 , 8
1_7_22 , 7
8_31_10 , 10
6_12_00 , 14
8_18_02 , 11
4_20_04 , 11
5_7_16 , 17
8_25_12 , 11
5_14_12 , 12
5_23_12 , 12
2_12_22 , 8
2_31_16 , 8
7_12_06 , 13
5_24_04 , 13
8_29_10 , 12
8_2_14 , 13
5_9_14 , 16
6_11_04 , 17
5_12_20 , 13
8_21_18 , 10
2_16_18 , 9
8_9_18 , 6
7_2_12 , 10
5_2_18 , 17
1_25_02 , 7
3_17_04 , 11
7_5_18 , 11
5_15_08 , 13
1_22_00 , 4
6_12_06 , 15
3_29_00 , 8
3_30_02 , 8
7_26_02 , 12
3_9_16 , 8
2_1_02 , 7
2_4_14 , 9
6_19_20 , 14
1_4_10 , 6
3_28_22 , 9
5_16_12 , 14
6_3_16 , 7
5_13_00 , 14
3_16_14 , 12
7_10_22 , 14
4_28_22 , 13
7_24_14 , 12
6_25_06 , 14
3_15_12 , 13
5_13_02 , 15
3_17_22 , 12
8_30_04 , 14
4_6_10 , 13
6_2_04 , 8
1_18_08 , 5
4_5_12 , 14
1_14_20 , 5
2_16_06 , 10
4_26_02 , 8
8_28_22 , 13
2_2_02 , 7
5_25_20 , 13
7_23_14 , 13
2_24_20 , 7
6_5_20 , 8
1_6_12 , 6
5_16_06 , 15
3_5_02 , 9
4_21_16 , 10
5_22_12 , 11
6_21_08 , 15
8_17_02 , 8
3_10_08 , 10
2_9_02 , 11
3_16_02 , 14
5_2_04 , 18
1_6_04 , 7
7_29_16 , 10
8_5_20 , 9
3_19_16 , 9
6_31_10 , 9
2_5_00 , 12
4_15_18 , 12
1_14_08 , 6
8_20_00 , 10
4_9_04 , 14
4_11_06 , 9
3_9_02 , 9
4_20_20 , 11
8_8_18 , 7
2_12_20 , 9
5_1_22 , 12
5_8_10 , 17
1_20_20 , 6
3_6_20 , 10
5_15_22 , 16
3_1_16 , 10
6_29_20 , 9
2_4_20 , 13
6_29_02 , 10
8_11_10 , 7
4_17_16 , 13
7_21_22 , 11
4_27_22 , 13
3_7_02 , 11
4_6_02 , 15
1_31_18 , 5
3_26_02 , 10
5_6_22 , 17
3_7_04 , 12
4_28_10 , 14
4_7_02 , 15
