7_5_04 , 1
7_26_06 , 2
4_20_02 , 3
7_8_00 , 2
2_21_08 , 4
4_21_12 , 4
1_15_10 , 5
3_28_16 , 5
7_30_20 , 3
4_18_08 , 6
8_11_06 , 3
6_20_00 , 5
8_31_18 , 4
1_19_00 , 6
1_29_14 , 7
6_23_14 , 6
1_27_12 , 8
5_1_20 , 6
7_9_16 , 4
3_14_00 , 6
8_13_04 , 5
1_16_06 , 7
2_5_08 , 7
3_11_18 , 8
5_26_12 , 7
4_16_20 , 7
4_2_08 , 7
1_5_06 , 8
5_9_14 , 8
3_31_16 , 8
3_22_08 , 7
2_7_18 , 9
3_4_08 , 9
8_19_18 , 6
7_21_08 , 7
6_31_06 , 8
5_31_16 , 9
5_6_22 , 10
6_2_22 , 9
8_19_06 , 7
8_4_08 , 5
3_20_06 , 8
5_29_02 , 10
7_4_06 , 4
6_9_10 , 9
3_13_18 , 9
4_19_14 , 7
8_7_00 , 6
4_7_20 , 8
2_8_02 , 10
8_10_02 , 5
7_3_02 , 5
4_8_22 , 9
6_7_10 , 10
7_17_04 , 10
5_7_10 , 11
6_15_20 , 9
4_25_12 , 8
6_16_18 , 10
6_17_04 , 11
4_27_18 , 9
4_4_16 , 9
6_7_20 , 11
4_6_18 , 10
1_26_22 , 9
1_14_00 , 6
5_25_06 , 8
2_16_14 , 9
1_17_14 , 8
2_22_16 , 8
3_21_02 , 9
3_23_10 , 8
3_22_16 , 9
2_12_14 , 10
1_14_22 , 7
3_18_22 , 9
2_19_06 , 10
8_16_08 , 8
3_12_04 , 10
3_9_02 , 10
5_14_22 , 10
3_19_06 , 10
2_17_06 , 11
1_14_14 , 8
7_29_00 , 4
2_13_20 , 11
7_17_06 , 11
6_11_10 , 10
2_19_04 , 12
2_11_10 , 11
5_8_22 , 12
8_5_20 , 7
2_25_02 , 9
3_17_06 , 10
4_12_08 , 11
5_6_04 , 11
7_26_02 , 8
7_22_22 , 9
5_5_12 , 12
8_1_18 , 7
4_22_12 , 9
4_26_20 , 10
7_17_20 , 12
3_17_22 , 11
6_4_16 , 11
5_23_10 , 9
2_5_16 , 10
7_23_02 , 10
8_18_14 , 9
2_30_20 , 10
