7_23_18 , 0
2_2_20 , 1
6_27_12 , 2
5_14_20 , 3
1_23_04 , 2
3_13_12 , 4
3_7_02 , 5
6_26_08 , 4
5_28_12 , 5
6_23_22 , 6
8_10_20 , 1
6_31_10 , 3
4_29_14 , 6
6_5_20 , 4
5_3_06 , 7
5_12_00 , 7
5_4_06 , 8
5_7_14 , 9
4_14_00 , 7
1_2_12 , 3
6_28_02 , 4
7_25_08 , 2
5_19_02 , 6
8_29_06 , 2
7_10_20 , 5
3_5_14 , 6
7_14_00 , 6
2_3_22 , 5
7_22_06 , 7
1_16_10 , 3
1_25_00 , 4
6_5_14 , 5
1_28_20 , 5
5_22_22 , 7
5_8_16 , 10
8_22_08 , 3
7_1_10 , 8
2_28_08 , 4
3_26_12 , 7
7_22_10 , 8
8_23_04 , 4
4_31_10 , 8
2_9_16 , 6
2_23_16 , 5
8_2_22 , 3
3_3_18 , 8
1_8_06 , 6
4_12_20 , 8
3_25_16 , 8
8_30_00 , 4
8_9_20 , 5
1_16_06 , 4
7_19_08 , 9
1_1_02 , 4
7_20_00 , 9
6_26_10 , 5
1_4_22 , 7
6_31_14 , 6
5_3_00 , 8
8_8_12 , 6
4_26_22 , 8
3_18_08 , 9
5_28_10 , 8
7_7_08 , 3
2_7_10 , 7
7_9_02 , 4
3_31_12 , 9
8_28_08 , 5
5_24_18 , 9
6_13_22 , 11
6_30_22 , 5
7_12_18 , 7
1_2_04 , 6
6_15_10 , 12
5_17_10 , 7
1_25_10 , 6
1_11_06 , 5
3_4_22 , 9
5_14_14 , 8
6_29_02 , 6
2_5_08 , 8
4_22_06 , 9
2_13_22 , 7
5_27_06 , 10
6_4_10 , 7
4_19_16 , 10
3_6_20 , 7
6_8_00 , 6
2_1_22 , 8
1_12_16 , 6
4_27_14 , 9
8_26_18 , 6
3_5_12 , 10
1_26_18 , 7
1_2_20 , 8
3_19_02 , 10
8_26_00 , 7
6_26_20 , 6
7_13_16 , 8
4_27_10 , 10
1_24_00 , 5
4_25_20 , 10
7_4_06 , 4
8_30_14 , 7
7_31_06 , 5
6_25_06 , 7
6_1_06 , 13
4_14_14 , 11
1_20_00 , 5
3_10_08 , 7
8_19_22 , 4
2_7_16 , 8
1_26_02 , 8
2_1_00 , 9
1_30_22 , 9
6_6_12 , 7
1_1_22 , 6
5_8_14 , 11
8_16_04 , 5
4_1_04 , 11
3_18_00 , 10
3_19_14 , 11
2_21_10 , 9
4_13_14 , 9
8_9_04 , 7
2_8_02 , 9
4_5_14 , 9
2_21_22 , 10
2_17_20 , 10
2_19_08 , 11
8_6_04 , 8
3_3_06 , 10
2_21_16 , 11
4_1_18 , 12
8_28_00 , 7
2_5_10 , 9
4_13_08 , 10
5_7_02 , 10
5_24_14 , 10
4_20_20 , 13
4_2_00 , 9
2_21_08 , 10
4_10_00 , 9
2_10_00 , 8
5_15_00 , 8
3_27_20 , 10
3_16_22 , 11
4_26_16 , 11
1_3_00 , 10
6_24_20 , 8
4_13_12 , 11
3_28_14 , 11
2_30_18 , 6
5_4_04 , 9
3_28_22 , 12
1_14_02 , 7
4_6_12 , 10
8_31_22 , 9
5_12_06 , 9
4_12_18 , 10
5_29_06 , 9
4_25_06 , 11
2_28_02 , 6
5_5_18 , 11
2_21_12 , 12
5_18_02 , 8
4_11_14 , 11
8_7_08 , 9
7_3_10 , 6
4_31_14 , 10
6_25_00 , 9
7_27_02 , 6
6_3_06 , 8
8_13_16 , 6
1_17_16 , 5
2_7_18 , 10
1_28_02 , 8
4_25_14 , 12
8_22_22 , 5
8_21_22 , 5
2_30_16 , 7
6_27_04 , 7
7_7_18 , 5
8_12_02 , 7
7_26_12 , 7
2_15_22 , 11
7_5_12 , 5
7_17_00 , 10
