8_27_12 , 0
1_24_18 , 1
5_28_20 , 3
6_24_14 , 2
7_2_16 , 4
3_6_08 , 2
3_27_00 , 4
4_27_08 , 3
1_15_08 , 3
7_3_22 , 3
1_19_02 , 5
3_5_10 , 3
1_22_04 , 4
5_15_22 , 4
3_25_06 , 4
3_6_00 , 4
7_20_22 , 3
4_12_22 , 4
4_19_06 , 6
1_10_22 , 4
7_7_02 , 6
6_28_22 , 6
6_24_08 , 5
2_13_08 , 6
8_3_20 , 5
7_1_06 , 5
6_21_00 , 7
6_31_14 , 7
2_2_20 , 6
5_9_06 , 7
8_27_04 , 5
5_31_10 , 7
7_1_12 , 5
6_24_12 , 5
4_2_00 , 5
3_19_04 , 5
5_19_10 , 5
4_16_18 , 7
4_16_22 , 6
8_7_02 , 7
6_20_08 , 6
2_8_00 , 7
3_31_22 , 4
5_30_08 , 6
3_14_16 , 7
4_26_22 , 6
3_5_18 , 5
6_2_10 , 5
8_2_12 , 5
3_23_10 , 7
5_29_00 , 8
5_11_12 , 6
4_1_14 , 8
2_19_12 , 6
3_10_02 , 5
5_12_20 , 8
1_28_00 , 5
6_29_10 , 7
1_13_04 , 7
1_9_16 , 7
5_10_00 , 8
2_21_02 , 5
7_19_10 , 6
7_6_10 , 6
2_16_10 , 6
1_11_14 , 7
2_11_18 , 6
5_17_20 , 7
5_26_14 , 7
6_18_08 , 8
3_31_08 , 5
6_15_02 , 8
7_14_00 , 8
5_5_02 , 7
5_19_02 , 9
7_22_08 , 5
5_20_10 , 9
1_3_18 , 6
4_14_12 , 7
8_28_22 , 6
4_11_10 , 7
8_6_12 , 6
8_31_02 , 6
7_18_14 , 8
2_16_16 , 8
2_18_16 , 8
8_8_04 , 6
7_17_22 , 8
1_17_04 , 6
2_22_00 , 8
2_12_22 , 6
4_20_10 , 8
2_28_22 , 8
6_12_10 , 8
7_16_20 , 8
6_24_22 , 6
2_13_22 , 6
3_8_22 , 9
3_25_00 , 8
7_15_14 , 8
8_31_00 , 7
7_4_14 , 8
5_3_12 , 9
6_8_00 , 7
7_5_00 , 8
1_26_00 , 5
6_3_06 , 9
3_3_16 , 6
6_9_14 , 9
1_26_02 , 6
8_29_22 , 7
5_13_08 , 9
2_10_02 , 5
2_25_20 , 8
8_7_18 , 7
8_19_22 , 8
5_10_16 , 9
1_2_00 , 6
6_21_10 , 6
1_2_06 , 8
5_5_20 , 9
4_9_04 , 9
3_26_12 , 8
8_11_08 , 7
5_15_06 , 7
5_6_06 , 8
6_26_18 , 6
4_17_06 , 8
8_10_08 , 9
1_31_10 , 9
1_31_22 , 9
3_19_06 , 8
8_5_08 , 7
3_22_16 , 10
2_13_16 , 9
6_14_14 , 6
7_18_02 , 7
4_29_08 , 7
7_14_08 , 7
8_21_12 , 7
